x-axis,1
second,Volt
-150.0000E-03,
-149.8500E-03,
-149.7000E-03,
-149.5500E-03,
-149.4000E-03,
-149.2500E-03,
-149.1000E-03,
-148.9500E-03,
-148.8000E-03,
-148.6500E-03,
-148.5000E-03,
-148.3500E-03,
-148.2000E-03,
-148.0500E-03,
-147.9000E-03,
-147.7500E-03,
-147.6000E-03,
-147.4500E-03,
-147.3000E-03,
-147.1500E-03,
-147.0000E-03,
-146.8500E-03,
-146.7000E-03,
-146.5500E-03,
-146.4000E-03,
-146.2500E-03,
-146.1000E-03,
-145.9500E-03,
-145.8000E-03,
-145.6500E-03,
-145.5000E-03,
-145.3500E-03,
-145.2000E-03,
-145.0500E-03,
-144.9000E-03,
-144.7500E-03,
-144.6000E-03,
-144.4500E-03,
-144.3000E-03,
-144.1500E-03,
-144.0000E-03,
-143.8500E-03,
-143.7000E-03,
-143.5500E-03,
-143.4000E-03,
-143.2500E-03,
-143.1000E-03,
-142.9500E-03,
-142.8000E-03,
-142.6500E-03,
-142.5000E-03,
-142.3500E-03,
-142.2000E-03,
-142.0500E-03,
-141.9000E-03,
-141.7500E-03,
-141.6000E-03,
-141.4500E-03,
-141.3000E-03,
-141.1500E-03,
-141.0000E-03,
-140.8500E-03,
-140.7000E-03,
-140.5500E-03,
-140.4000E-03,
-140.2500E-03,
-140.1000E-03,
-139.9500E-03,
-139.8000E-03,
-139.6500E-03,
-139.5000E-03,
-139.3500E-03,
-139.2000E-03,
-139.0500E-03,
-138.9000E-03,
-138.7500E-03,
-138.6000E-03,
-138.4500E-03,
-138.3000E-03,
-138.1500E-03,
-138.0000E-03,
-137.8500E-03,
-137.7000E-03,
-137.5500E-03,
-137.4000E-03,
-137.2500E-03,
-137.1000E-03,
-136.9500E-03,
-136.8000E-03,
-136.6500E-03,
-136.5000E-03,
-136.3500E-03,
-136.2000E-03,
-136.0500E-03,
-135.9000E-03,
-135.7500E-03,
-135.6000E-03,
-135.4500E-03,
-135.3000E-03,
-135.1500E-03,
-135.0000E-03,
-134.8500E-03,
-134.7000E-03,
-134.5500E-03,
-134.4000E-03,
-134.2500E-03,
-134.1000E-03,
-133.9500E-03,
-133.8000E-03,
-133.6500E-03,
-133.5000E-03,
-133.3500E-03,
-133.2000E-03,
-133.0500E-03,
-132.9000E-03,
-132.7500E-03,
-132.6000E-03,
-132.4500E-03,
-132.3000E-03,
-132.1500E-03,
-132.0000E-03,
-131.8500E-03,
-131.7000E-03,
-131.5500E-03,
-131.4000E-03,
-131.2500E-03,
-131.1000E-03,
-130.9500E-03,
-130.8000E-03,
-130.6500E-03,
-130.5000E-03,
-130.3500E-03,
-130.2000E-03,
-130.0500E-03,
-129.9000E-03,
-129.7500E-03,
-129.6000E-03,
-129.4500E-03,
-129.3000E-03,
-129.1500E-03,
-129.0000E-03,
-128.8500E-03,
-128.7000E-03,
-128.5500E-03,
-128.4000E-03,
-128.2500E-03,
-128.1000E-03,
-127.9500E-03,
-127.8000E-03,
-127.6500E-03,
-127.5000E-03,
-127.3500E-03,
-127.2000E-03,
-127.0500E-03,
-126.9000E-03,
-126.7500E-03,
-126.6000E-03,
-126.4500E-03,
-126.3000E-03,
-126.1500E-03,
-126.0000E-03,
-125.8500E-03,
-125.7000E-03,
-125.5500E-03,
-125.4000E-03,
-125.2500E-03,
-125.1000E-03,
-124.9500E-03,
-124.8000E-03,
-124.6500E-03,
-124.5000E-03,
-124.3500E-03,
-124.2000E-03,
-124.0500E-03,
-123.9000E-03,
-123.7500E-03,
-123.6000E-03,
-123.4500E-03,
-123.3000E-03,
-123.1500E-03,
-123.0000E-03,
-122.8500E-03,
-122.7000E-03,
-122.5500E-03,
-122.4000E-03,
-122.2500E-03,
-122.1000E-03,
-121.9500E-03,
-121.8000E-03,
-121.6500E-03,
-121.5000E-03,
-121.3500E-03,
-121.2000E-03,
-121.0500E-03,
-120.9000E-03,
-120.7500E-03,
-120.6000E-03,
-120.4500E-03,
-120.3000E-03,
-120.1500E-03,
-120.0000E-03,
-119.8500E-03,
-119.7000E-03,
-119.5500E-03,
-119.4000E-03,
-119.2500E-03,
-119.1000E-03,
-118.9500E-03,
-118.8000E-03,
-118.6500E-03,
-118.5000E-03,
-118.3500E-03,
-118.2000E-03,
-118.0500E-03,
-117.9000E-03,
-117.7500E-03,
-117.6000E-03,
-117.4500E-03,
-117.3000E-03,
-117.1500E-03,
-117.0000E-03,
-116.8500E-03,
-116.7000E-03,
-116.5500E-03,
-116.4000E-03,
-116.2500E-03,
-116.1000E-03,
-115.9500E-03,
-115.8000E-03,
-115.6500E-03,
-115.5000E-03,
-115.3500E-03,
-115.2000E-03,
-115.0500E-03,
-114.9000E-03,
-114.7500E-03,
-114.6000E-03,
-114.4500E-03,
-114.3000E-03,
-114.1500E-03,
-114.0000E-03,
-113.8500E-03,
-113.7000E-03,
-113.5500E-03,
-113.4000E-03,
-113.2500E-03,
-113.1000E-03,
-112.9500E-03,
-112.8000E-03,
-112.6500E-03,
-112.5000E-03,
-112.3500E-03,
-112.2000E-03,
-112.0500E-03,
-111.9000E-03,
-111.7500E-03,
-111.6000E-03,
-111.4500E-03,
-111.3000E-03,
-111.1500E-03,
-111.0000E-03,
-110.8500E-03,
-110.7000E-03,
-110.5500E-03,
-110.4000E-03,
-110.2500E-03,
-110.1000E-03,
-109.9500E-03,
-109.8000E-03,
-109.6500E-03,
-109.5000E-03,
-109.3500E-03,
-109.2000E-03,
-109.0500E-03,
-108.9000E-03,
-108.7500E-03,
-108.6000E-03,
-108.4500E-03,
-108.3000E-03,
-108.1500E-03,
-108.0000E-03,
-107.8500E-03,
-107.7000E-03,
-107.5500E-03,
-107.4000E-03,
-107.2500E-03,
-107.1000E-03,
-106.9500E-03,
-106.8000E-03,
-106.6500E-03,
-106.5000E-03,
-106.3500E-03,
-106.2000E-03,
-106.0500E-03,
-105.9000E-03,
-105.7500E-03,
-105.6000E-03,
-105.4500E-03,
-105.3000E-03,
-105.1500E-03,
-105.0000E-03,
-104.8500E-03,
-104.7000E-03,
-104.5500E-03,
-104.4000E-03,
-104.2500E-03,
-104.1000E-03,
-103.9500E-03,
-103.8000E-03,
-103.6500E-03,
-103.5000E-03,
-103.3500E-03,
-103.2000E-03,
-103.0500E-03,
-102.9000E-03,
-102.7500E-03,
-102.6000E-03,
-102.4500E-03,
-102.3000E-03,
-102.1500E-03,
-102.0000E-03,
-101.8500E-03,
-101.7000E-03,
-101.5500E-03,
-101.4000E-03,
